tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
"Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous",0.000,0.800,0.200,0.12498000000000001,0.0,-0.6249,0.0,0.062480001600000015,0.028,0.909,0.063,5,rumours
"“I don’t feel as though I’m killing someone with a pen."" -Stephane Charbonnier 1967-2015 #CharlieHebdo http://t.co/RmJlpSsaNt",0.050,0.250,0.700,0.4400799999999999,0.7944,-0.7925,0.56305,0.08304968460000002,0.064,0.718,0.218,20,rumours
#CharlieHebdo Stéphane Charbonnier and Jean Cabut died for freedom of press. May their bravery &amp; spirit live forever http://t.co/JBjJicdNbq,0.000,0.667,0.333,0.24513333333333334,0.0258,-0.7096,0.0258,0.10797558222222224,0.117,0.685,0.198,3,rumours
"Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded.",0.167,0.333,0.500,0.35135000000000005,0.1027,-0.8316,0.23195000000000002,0.12536818583333334,0.057,0.758,0.184,6,rumours
Paris is on alert after gunmen killed twelve people at the office of satirical magazine Charlie Hebdo http://t.co/aUlvfkdg5u,0.000,0.000,1.000,0.743,-0.743,-0.743,0.743,0.0,0.086,0.623,0.292,1,rumours
"France's most talented cartoonists:Cabu, Wolinski, Charb, Tignous died in #CharlieHebdo attack http://t.co/HrNScpSyMj http://t.co/GSG45GlgIt",0.133,0.200,0.667,0.5463,0.7992,-0.8934,0.7003,0.115624176,0.083,0.462,0.455,15,rumours
"Police confirm deaths of four of France's most celebrated cartoonists Charb, Cabu, Wolinski and Tignous #CharlieHebdo http://t.co/K7ZHV9C27F",0.476,0.190,0.333,0.4965190476190475,0.743,-0.8779,0.5848,0.09129745868480725,0.129,0.745,0.125,21,rumours
"According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous.",0.000,0.250,0.750,0.609675,0.0,-0.9163,0.7612,0.132023781875,0.022,0.695,0.283,4,rumours
Gunmen showed advanced military skills in Paris #CharlieHebdo attack: http://t.co/Q5FIaTLF8G http://t.co/XiZLErM37y,0.222,0.222,0.556,0.3720333333333334,0.6599,-0.8591,0.4019,0.06674850444444445,0.067,0.795,0.139,27,rumours
"4 #CharlieHebdo cartoonists killed:

- Charb
- Cabu
- Tignous
- Georges Wolinski

#JeSuisCharlie http://t.co/QbaEYog2S2",0.200,0.150,0.650,0.43046500000000004,0.8415,-0.891,0.4181,0.07999010927499998,0.107,0.598,0.295,20,rumours
"As #CharlieHebdo attack unfolded, a journalist tweeted while taking shelter on a roof http://t.co/VUnbUrUpws http://t.co/P8E6hJcmHw",0.243,0.351,0.405,0.2864216216216216,0.802,-0.886,0.3089,0.07459496872169465,0.078,0.790,0.132,37,rumours
"Police: Four of France's most celebrated cartoonists killed: Charb, Cabu, Wolinski, &amp; Tignous http://t.co/g0dRKU3qCV #CharlieHebdo",0.500,0.100,0.400,0.39236,0.7125,-0.6808,0.3377,0.06726434839999999,0.193,0.621,0.186,10,rumours
"""You tell the media it was al-Qaeda in Yemen"" - reported words of #CharlieHebdo attackers. 
Read more: http://t.co/qDPrycGtAR
#c4news",0.455,0.182,0.364,0.4669636363636363,0.8271,-0.9313,0.4215,0.10569054776859503,0.141,0.713,0.147,11,rumours
#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/7aR1fN2hB4,0.500,0.000,0.500,0.6403,0.755,-0.5256,0.6403,0.013156090000000006,0.172,0.593,0.235,2,rumours
#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/Zc8KZ0wNwR,0.000,0.500,0.500,0.3404,0.0,-0.6808,0.3404,0.11587215999999999,0.000,0.651,0.348,2,rumours
"#CharlieHebdo editor-in-chief Stephane Charbonnier, known as ""Charb"", &amp; 3 other cartoonists killed - judicial sources http://t.co/R6fzwhMB6l",0.300,0.300,0.400,0.4401,0.5719,-0.8908,0.49135,0.104479306,0.153,0.711,0.135,10,rumours
#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228,0.600,0.300,0.100,0.28944000000000003,0.802,-0.6486,0.23775000000000002,0.07708749439999998,0.243,0.712,0.045,10,rumours
"BREAKING: French authorities say the two #CharlieHebdo terrorists are still ""armed and extremely dangerous.""",0.400,0.200,0.400,0.44350000000000006,0.6124,-0.6458,0.5574,0.05616970400000001,0.293,0.589,0.118,5,rumours
Staff of #CharlieHebdo magazine were shot as they were in the midst of an editorial meeting. Latest updates: http://t.co/E0XArYscqK,0.308,0.231,0.462,0.39451538461538466,0.5848,-0.8316,0.4588,0.06693643514792899,0.077,0.765,0.158,13,rumours
Witness to #CharlieHebdo attack claims gunmen told him it was “Al-Qaeda in Yemen” (i.e. AQAP): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD,0.455,0.273,0.273,0.4333545454545455,0.6486,-0.875,0.5719,0.08898228429752066,0.172,0.726,0.102,11,rumours
Update - Police say 3 gunmen on the loose after 12 people were killed when HQ of satirical publication #CharlieHebdo was attacked in #Paris,0.111,0.111,0.778,0.4824111111111111,0.1779,-0.8268,0.6597,0.08762176098765433,0.053,0.689,0.258,9,rumours
"Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy",0.222,0.222,0.556,0.3716666666666667,0.5994,-0.6249,0.4019,0.047543213333333334,0.126,0.650,0.224,9,rumours
"Three attackers being hunted for assault on French magazine #CharlieHebdo, French interior minister says http://t.co/F7ZB9JXIfe",0.222,0.222,0.556,0.43638333333333335,0.6369,-0.8316,0.57165,0.08599863694444444,0.064,0.718,0.218,18,rumours
Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man http://t.co/IX8Wys3p5M,0.083,0.250,0.667,0.444625,0.6705,-0.8625,0.4767,0.08453886520833333,0.057,0.647,0.296,12,rumours
URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister http://t.co/3Jsosc7yl3 #Paris http://t.co/9fqT2P6yhV,0.167,0.167,0.667,0.5053000000000001,0.6249,-0.886,0.5836,0.0877481311111111,0.053,0.666,0.281,18,rumours
"BREAKING: Three gunmen involved in attack on Charlie Hebdo magazine, French Interior Minister Bernard Cazeneuve says. http://t.co/ak9mTVfJdR",0.000,0.000,1.000,0.722875,-0.5423,-0.926,0.7116,0.022288781875000004,0.000,0.678,0.322,4,rumours
"3 people carried out #CharlieHebdo attack, and authorities are searching for them, French interior minister says. http://t.co/zUfxcG3Rfs",0.333,0.143,0.524,0.449304761904762,0.6249,-0.91,0.4215,0.0780396871201814,0.158,0.624,0.218,21,rumours
Paris Manhunt: 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large http://t.co/3Jsosc7yl3,0.294,0.294,0.412,0.31214117647058826,0.6734,-0.7845,0.296,0.06743095065743944,0.109,0.752,0.139,17,rumours
France's top security official confirms that 3 gunmen carried out the attack on #CharlieHebdo http://t.co/gL0vcc2IP5,0.607,0.143,0.250,0.3352964285714285,0.7845,-0.8832,0.3182,0.0477159939158163,0.211,0.692,0.097,28,rumours
"Officials say 3 gunmen carried out Charlie Hebdo shootings, France’s bloodiest terrorist attack in nearly 2 decades. http://t.co/03Tiwniedk",0.368,0.053,0.579,0.6154421052631577,0.8425,-0.9538,0.7125,0.08189892033240997,0.122,0.592,0.286,19,rumours
"#CHARLIEHEBDO Shooting Wrap-up: 12 dead, 3 gunmen at large, Paris on high terrorist alert http://t.co/3Jsosc7yl3 http://t.co/uAEdhUuO03",0.200,0.400,0.400,0.26974,0.34,-0.8807,0.128,0.1087636304,0.081,0.795,0.124,5,rumours
"Eyewitness: terrorists said, “Tell the media that this is al Qaeda in the Yemen” before attacking #CharlieHebdo http://t.co/dTaPFkFr5F",0.426,0.352,0.222,0.27545,0.7506,-0.8316,0.2732,0.06415615175925923,0.194,0.716,0.091,54,rumours
Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/WSEe7PGIdY http://t.co/fTzk4xzZIr,0.214,0.500,0.286,0.24152857142857145,0.4404,-0.8519,0.10115,0.07966651204081633,0.061,0.833,0.105,14,rumours
"Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT",0.667,0.000,0.333,0.3892666666666667,0.7506,-0.0772,0.34,0.07679152888888889,0.313,0.636,0.051,3,rumours
#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,rumours
Evet! : From Banksy #JeSuisCharlie http://t.co/7QX4hhYytl”,0.400,0.000,0.600,0.45338,0.7783,-0.5994,0.516,0.05941919360000001,0.084,0.777,0.139,5,rumours
"Great picture by Banksy. So simple, yet so powerful. #JeSuisCharlie 
Please share. http://t.co/v1ojeJ4d2l",0.562,0.375,0.062,0.33959999999999996,0.8995,-0.4404,0.406,0.0892249075,0.232,0.760,0.009,16,rumours
Tribute to #CharlieHebdo on Banksy's instagram account: http://t.co/VE37nfsL2R http://t.co/b0QYWmMUkL,0.316,0.474,0.211,0.2631894736842106,0.8074,-0.6249,0.2057,0.08199490199445982,0.150,0.739,0.110,19,rumours
Banksy #JeSuisCharlie http://t.co/8w3m2CX96n,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,rumours
Nice work from Banksy #JeSuisCharlie http://t.co/w9pJIrf7cP,0.300,0.200,0.500,0.45398000000000005,0.8225,-0.7304,0.48515,0.0890454916,0.138,0.682,0.180,10,rumours
"Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie #IamCharlie #ParisShooting http://t.co/G8D3mixbjX",0.471,0.265,0.265,0.39814999999999995,0.8868,-0.8957,0.3182,0.10329006955882354,0.142,0.746,0.112,34,rumours
Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) http://t.co/GKFP5xVAoc,1.000,0.000,0.000,0.5104500000000001,0.5994,0.4215,0.5104500000000001,0.007912102500000004,0.405,0.595,0.000,2,rumours
Banksy’s take on #CharlieHebdo http://t.co/FuqO8rAVcP,0.389,0.556,0.056,0.25172222222222224,0.8297,-0.6369,0.0,0.09546831061728393,0.180,0.805,0.015,18,rumours
"Ahmed Merabet, a French Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie http://t.co/cMKQhVTLQN",0.083,0.333,0.583,0.3748416666666667,0.743,-0.9022,0.3506,0.10467296743055556,0.074,0.697,0.229,12,rumours
#UPDATE Three men including two brothers identified in France newspaper attack: source http://t.co/5NoNuqJSu1 #JeSuisCharlie #CharlieHebdo,0.000,0.000,1.000,0.4044,-0.128,-0.6808,0.4044,0.07639695999999999,0.000,0.619,0.382,2,rumours
"R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/vEHq0PAZwE",0.325,0.265,0.410,0.37846626506024106,0.91,-0.91,0.3818,0.08885396777761652,0.110,0.734,0.156,83,rumours
"""Banksy"" reacts to #CharlieHebdo attack with poignant drawing http://t.co/5uVjGKfQB4 http://t.co/lOMvBsMj5q",0.357,0.571,0.071,0.2461357142857143,0.6369,-0.4767,0.0129,0.08109349658163266,0.251,0.719,0.030,14,rumours
"Suspects in #CharlieHebdo attack identified by police as Said Kouachi, Cherif Kouachi &amp; Hamyd Mourad http://t.co/kTtysbF7fX",0.342,0.329,0.329,0.35062763157894733,0.866,-0.875,0.38155,0.08701086436807479,0.128,0.779,0.094,76,rumours
#Banksy has also contributed a powerful message of perseverance &amp; support after #CharlieHebdo attack. #JeSuisCharlie http://t.co/bm8uyixSma,0.333,0.333,0.333,0.19653333333333334,0.4019,-0.1877,0.1877,0.026959615555555556,0.134,0.833,0.033,3,rumours
#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD,0.400,0.600,0.000,0.19102000000000002,0.6369,0.0,0.0,0.0648899296,0.147,0.853,0.000,5,rumours
"FRANCE - PHOTO: Ahmed Merabet, French #Muslim Cop, first victim of #CharlieHebdo attack today. http://t.co/osFUOA9o1F",0.091,0.273,0.636,0.3885757575757576,0.5499,-0.9413,0.3612,0.10455643395775939,0.056,0.718,0.226,33,rumours
"1st person killed by terrorists was a French Muslim cop, RIP Ahmed Merabet. Bigotry is ALWAYS wrong! #CharlieHebdo http://t.co/yyitubfAIt",0.305,0.220,0.475,0.38266271186440665,0.8228,-0.9231,0.4019,0.07911655182993402,0.122,0.712,0.166,177,rumours
"RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5",0.200,0.267,0.533,0.4600533333333333,0.6705,-0.9792,0.5831,0.11179855048888888,0.078,0.696,0.226,15,rumours
"R.I.P. Ahmed Merabet, a French police officer, a Muslim, the first victim of #CharlieHebdo attack, http://t.co/bMzZgpXuL7 via @Ironyisfunny8",0.107,0.214,0.679,0.38193214285714283,0.3612,-0.9062,0.3612,0.08883913860969388,0.047,0.701,0.252,28,rumours
"Breaking: automatic gunfire reported at Montrouge near Paris. Gunmen escaped in metro, say French reports http://t.co/2J4WQdJnTp",0.600,0.200,0.200,0.55238,0.7717,-0.8779,0.6908,0.09909557360000001,0.354,0.532,0.114,5,rumours
"Banksy's take on Charlie Hebdo is simple, elegant &amp; uncompromising 
#JeSuisCharlie http://t.co/FoQeqSd548",0.667,0.333,0.000,0.27930000000000005,0.4767,0.0,0.3612,0.04122762,0.311,0.689,0.000,3,rumours
Banksy account joins cartoonists support for #CharlieHebdo #JeSuisCharlie  http://t.co/nFD1N4Yqu0 http://t.co/R2bEWKupRt,0.375,0.312,0.312,0.24648749999999997,0.4404,-0.5267,0.3071,0.03540366734375,0.130,0.790,0.080,16,rumours
Two police officers have been injured in a shooting in #Montrouge in southern #Paris - there is no direct link with the #CharlieHebdo attack,0.200,0.200,0.600,0.34033,0.9342,-0.7783,0.296,0.0689381261,0.072,0.777,0.151,20,rumours
Policeman seriously injured in new #Paris shooting as seven arrests made - live updates http://t.co/cCc9GdG3HV http://t.co/JqhZChVPCw,0.000,0.500,0.500,0.2632,0.0,-0.6124,0.2202,0.07297224000000001,0.000,0.794,0.206,4,rumours
The Image That Everyone Is Sharing isn't By Banksy — But It's Awesome. #CharlieHebdo http://t.co/YF1d7tvNwE http://t.co/UfBtgLRRYc,1.000,0.000,0.000,0.6320666666666667,0.8268,0.4767,0.5927,0.021203202222222217,0.371,0.609,0.020,3,rumours
Police: Shooting in southern Paris wounds French police officer; too early to draw connection between this and Charlie Hebdo attack - @AP,0.214,0.214,0.571,0.34625,0.9081,-0.7346,0.4203,0.07744729250000001,0.121,0.758,0.121,14,rumours
"Two shot in Paris, including traffic cop, as manhunt continues for #CharlieHebdo suspects http://t.co/L7wpNhAYZn http://t.co/oQi2UinDH1",0.000,0.750,0.250,0.07955,0.0,-0.3182,0.0,0.018984607499999997,0.000,0.963,0.037,4,rumours
Shooting south of Paris with one police officer injured. Police say no known link to #CharlieHebdo attack http://t.co/UZlFI7Bb5s,0.176,0.235,0.588,0.3802941176470589,0.3818,-0.9531,0.296,0.10617277584775087,0.076,0.708,0.216,17,rumours
"This powerful cartoon about the Charlie Hebdo attack is not by Banksy
http://t.co/F6cNaivqCS http://t.co/ZrIUn6O8nS",0.278,0.278,0.444,0.3710666666666667,0.8271,-0.6486,0.4767,0.0824213288888889,0.141,0.753,0.106,18,rumours
Banksy's illustrated response to the Charlie Hebdo attack isn't by Banksy. But it is striking http://t.co/NQueBlmfOt http://t.co/HedHlyB24X,0.333,0.000,0.667,0.46290000000000003,0.4767,-0.784,0.4767,0.07181788666666668,0.236,0.622,0.142,3,rumours
"French cartoonists Charb, Cabu, Tignous and Wolinski all killed in Charlie Hebdo attack http://t.co/CbudA0P8Op http://t.co/1YlQLrdp70",0.333,0.333,0.333,0.4101333333333333,0.8834,-0.347,0.347,0.13205883555555556,0.267,0.631,0.102,3,rumours
UPDATE: Two Paris cops shot as manhunt for #CharlieHebdo suspects continues http://t.co/RgwbjXuMTJ http://t.co/wnY8ZMR7Rd,0.154,0.308,0.538,0.3812615384615385,0.7269,-0.8481,0.3818,0.09921752390532547,0.129,0.705,0.166,13,rumours
One suspect in the #CharlieHebdo shooting has handed himself in; two others remain at large: http://t.co/B8B2db88l6 http://t.co/cXVCGoxGzD,0.357,0.214,0.429,0.3912785714285714,0.5994,-0.7579,0.40080000000000005,0.0781770973979592,0.167,0.714,0.119,14,rumours
"R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/idgRlYPSk7",0.167,0.333,0.500,0.24151666666666669,0.6369,-0.5106,0.1508,0.06358912138888889,0.099,0.739,0.162,6,rumours
"Ahmed Merabet, a French Police officer, the first victim of #CharlieHebdo attack .. He was a Musilm #RIP http://t.co/Z5Qx2gGMNp",0.714,0.143,0.143,0.4854142857142857,0.802,-0.9096,0.4019,0.07972440979591836,0.304,0.604,0.092,7,rumours
UPDATE: Police officer shot outside Paris this morning dies http://t.co/OoALEHIyC4 #Montrouge http://t.co/OgAwuVq0rM,0.300,0.200,0.500,0.55388,0.8442,-0.9118,0.63605,0.1105934296,0.151,0.644,0.205,10,rumours
Brilliant by @LucilleClerc #CharlieHebdo http://t.co/fklXQlrbEL,0.500,0.000,0.500,0.57375,0.6369,-0.5106,0.57375,0.003987922499999998,0.206,0.678,0.116,2,rumours
"ID card of Said Kouachi, suspect in #CharlieHebdo attack, found in car left by 2 suspects http://t.co/QBuyFSVORd http://t.co/FyiSZvWJJ5",0.157,0.216,0.627,0.37958039215686257,0.8671,-0.9072,0.3182,0.088963615301807,0.067,0.747,0.186,51,rumours
"The two suspects in the #CharlieHebdo #ParisShooting have been located, reports say. http://t.co/CI1tEpiuFO http://t.co/MAk3reuOE8",0.316,0.211,0.474,0.38761578947368425,0.4767,-0.8629,0.4215,0.06957231711911356,0.130,0.630,0.240,19,rumours
‘Banksy’ Instagram tribute to #CharlieHebdo victims not posted by artist http://t.co/EKlScFGWVu (Pic: Lucille Clerc) http://t.co/ZYEBaU8YUQ,0.364,0.545,0.091,0.2549090909090909,0.5859,-0.8591,0.0,0.09106171719008263,0.176,0.783,0.041,11,rumours
AFP: the two armed suspects who attacked #CharlieHebdo's headquarters yesterday have been located in northern France,0.222,0.083,0.694,0.5521611111111111,0.7591,-0.9643,0.6483,0.06811482182098766,0.094,0.690,0.216,36,rumours
The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK,0.059,0.353,0.588,0.42407647058823533,0.2732,-0.9643,0.4767,0.12329729121107269,0.060,0.652,0.288,17,rumours
"URGENT: #CharlieHebdo suspects located in Aisne, northern France - reports via @le_Parisien http://t.co/MHmEQPX2D6 http://t.co/8kSi0WaQBG",0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,rumours
French media reporting owner of petrol station saw 2 men wearing masks in car with guns &amp; rocket launcher #CharlieHebdo,0.333,0.381,0.286,0.2659095238095239,0.6679,-0.8074,0.25,0.07199176371882088,0.099,0.776,0.125,21,rumours
Who are the two brothers suspected of launching #CharlieHebdo attack? We explain: http://t.co/WqmrAaIfCU (Pic: AFP) http://t.co/3mzxBh5gkH,0.375,0.125,0.500,0.41593749999999996,0.5267,-0.9296,0.45625000000000004,0.11462229484375,0.100,0.663,0.237,8,rumours
"2 brothers suspected of #CharlieHebdo attack spotted in northern France, sources tell AFP http://t.co/spzmOjmyT4",0.125,0.275,0.600,0.39143000000000006,0.3875,-0.911,0.44505,0.09386894910000002,0.057,0.756,0.186,40,rumours
BREAKING: French police say they have located whereabouts of two suspects said to be behind attacks in Paris More at: http://t.co/WezWaJNjkZ,0.100,0.400,0.500,0.34836,0.6408,-0.8877,0.318,0.10585572440000002,0.041,0.794,0.165,10,rumours
"Interesting that #MouradHamydInnocent is trending, started by classmates who say suspect Mourad was in class at time of #CharlieHebdo attack",0.250,0.417,0.333,0.30256666666666665,0.4588,-0.7845,0.36005,0.0793282188888889,0.120,0.773,0.107,12,rumours
UPDATE: Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P,0.000,0.333,0.667,0.08463333333333334,0.0,-0.2023,0.0516,0.007366482222222223,0.087,0.811,0.103,3,rumours
This widely shared cartoon about the #CharlieHebdo attack is actually by @LucilleClerc and not #Banksy http://t.co/HxKI8pefcU,0.375,0.250,0.375,0.31774375,0.6696,-0.6249,0.318,0.05563192996093749,0.233,0.660,0.107,16,rumours
French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB,0.091,0.455,0.455,0.31826363636363636,0.5423,-0.7579,0.1901,0.10503647322314048,0.045,0.817,0.137,11,rumours
The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/joSfDCybpI http://t.co/7xQIrb4vbU,0.214,0.143,0.643,0.44200000000000006,0.836,-0.9206,0.4404,0.10688191142857142,0.128,0.656,0.216,14,rumours
"#banksy You can try to break the pencil but it will multiply...
#jesuischarlie http://t.co/iO1xSrQTvg",0.250,0.750,0.000,0.151375,0.7184,0.0,0.0,0.071929774375,0.083,0.917,0.000,8,rumours
Banksy's response to the Charlie Hebdo attack is striking. But it isn't by Banksy http://t.co/LQNdK2Qkge http://t.co/cWhJZOLLhr,0.000,0.333,0.667,0.4705,0.0,-0.9348,0.4767,0.14566105999999998,0.000,0.698,0.302,3,rumours
Banksy's response to the #CharlieHebdo attack isn't by Banksy. But it is striking: http://t.co/mag1lJXzjL http://t.co/3TDPkGFxrx,0.200,0.600,0.200,0.17964,0.4215,-0.4767,0.0,0.04871049839999999,0.200,0.649,0.151,5,rumours
BREAKING: Police search northern France gas station local media says was allegedly robbed by #CharlieHebdo suspects. http://t.co/BTqdPhZdL9,0.000,0.200,0.800,0.37714,0.0,-0.5574,0.4404,0.0402704704,0.076,0.720,0.204,5,rumours
Police search gas station where French media reported #CharlieHebdo suspects allegedly were seen. http://t.co/v9cuXpPIYF,0.267,0.133,0.600,0.4365933333333334,0.7506,-0.9236,0.4767,0.07771704728888888,0.155,0.627,0.218,15,rumours
"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. #CharlieHebdo",0.407,0.222,0.370,0.27917407407407413,0.7096,-0.7173,0.296,0.05617148562414268,0.128,0.767,0.105,27,rumours
The artist behind this iconic #CharlieHebdo pencil tribute http://t.co/qDdyz2cS8D http://t.co/UrTJu7Pkbd,0.350,0.300,0.350,0.3701899999999999,0.7311,-0.9081,0.40564999999999996,0.09265455189999999,0.183,0.664,0.153,20,rumours
BREAKING: French police descend on town where gunmen resembling suspected #CharlieHebdo attackers hit gas station http://t.co/pEFLi4EjX0,0.111,0.111,0.778,0.47945555555555547,0.4404,-0.8689,0.6124,0.08089560024691357,0.116,0.645,0.240,9,rumours
"Charlie Hebdo attack was obviously carefully planned. 

... and than you leave your ID card in the getaway car? 
─► http://t.co/TzTp8KxRUo",0.375,0.375,0.250,0.28629166666666667,0.7783,-0.886,0.174,0.0922096015972222,0.100,0.806,0.094,24,rumours
"It ain't Banksy! Meet @LucilleClerc, artist behind the iconic #CharlieHebdo pencil tribute http://t.co/dSLrOOGQN7 http://t.co/TU2rtmUSd9",0.500,0.227,0.273,0.37611818181818185,0.8402,-0.6222,0.40769999999999995,0.07639149785123966,0.279,0.602,0.118,22,rumours
#CharlieHebdo cartoon attributed to #banksy is really by @LucilleClerc #JeSuisCharlie https://t.co/FZB4b7iMc2 http://t.co/S6s7ZKyOeN,0.667,0.333,0.000,0.3276,0.7096,0.0,0.2732,0.08540170666666667,0.488,0.512,0.000,3,rumours
"Powerful image, yes. But it was drawn by @lucilleclerc, not by Banksy. Details: http://t.co/J4WBazwZF7 #charliehebdo http://t.co/f3OEIDDj1K",0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,rumours
The last person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/qQXNLUDYPG http://t.co/PJH6tlyrpC,0.333,0.333,0.333,0.37920952380952383,0.92,-0.9524,0.4201,0.09851516371882087,0.204,0.657,0.139,21,rumours
French officials say one of the alleged gunman left ID in getaway car after #CharlieHebdo attack http://t.co/9c5VpoFxJI,0.250,0.400,0.350,0.32981,0.5267,-0.836,0.296,0.1027817429,0.086,0.754,0.160,20,rumours
This illustration by @LucilleClerc says it all. #JeSuisCharlie http://t.co/UctYcW96A4,0.667,0.333,0.000,0.47659999999999997,0.8439,0.0,0.5859,0.12466778,0.279,0.721,0.000,3,rumours
"Paris says highest alert level extended north to region where attack suspects spotted - @AFP, @MelissaBellF24 https://t.co/pj8kecnVt7",0.250,0.375,0.375,0.34543749999999995,0.5859,-0.6908,0.46715,0.07272935234375,0.141,0.661,0.198,8,rumours
"Police seen in Longpont, a village near to a petrol station reportedly robbed by the two #CharlieHebdo suspects. http://t.co/cQsXx2q9PT",0.333,0.222,0.444,0.36817777777777777,0.8807,-0.5267,0.4404,0.0698752350617284,0.145,0.696,0.159,9,rumours
"Clarissa, 27 years old, police trainee of Montrouge Police in #France. Victim of this morning's attack. via @_batou_ http://t.co/kk0w0D6NNv",0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,2,rumours
"BREAKING NEWS 
R.I.P. Ahmed Merabet, #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/4W1VeBUsa0",0.368,0.263,0.368,0.404721052631579,0.872,-0.6908,0.4404,0.09079347218836566,0.201,0.689,0.109,19,rumours
Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates http://t.co/7iVIN3nqCv http://t.co/YrdUIOjrZF,0.214,0.500,0.286,0.2574714285714286,0.743,-0.6908,0.0703,0.08345363632653062,0.110,0.769,0.121,14,rumours
#BREAKING HOSTAGES TAKEN AT A BUSINESS IN DAMMARTIN-EN-GOELE - RTL REPORTS #France http://t.co/aa3FJVho8K,0.500,0.500,0.000,0.11315,0.2263,0.0,0.11315,0.0128029225,0.243,0.756,0.000,2,rumours
Reports of shooting at  Dammartin en Goele on route N2 north east of Paris - French media says car chase under way,0.000,0.000,1.000,0.51705,-0.2911,-0.743,0.51705,0.05105340249999999,0.157,0.543,0.299,2,rumours
BREAKING NEWS - Exchange of fire reported in #DammartinEnGoele  http://t.co/2A0s2WxBmZ #CharlieHebdo http://t.co/FuysX2plAj,0.250,0.750,0.000,0.09545,0.3818,0.0,0.0,0.027332107499999998,0.075,0.924,0.000,4,rumours
Reports of shots fired north-east of Paris as French police pursue two suspected Charlie Hebdo gunmen in car chase http://t.co/FbUYubJDOY,0.172,0.310,0.517,0.3637413793103448,0.875,-0.875,0.296,0.09549334863258024,0.083,0.736,0.181,29,rumours
#BREAKING Hostages taken north-east of Paris: police,0.133,0.533,0.333,0.23016666666666666,0.368,-0.8481,0.0,0.07492596622222221,0.106,0.753,0.141,15,rumours
"BREAKING NEWS: Shots Fired, Hostages Taken in Town Northeast of Paris http://t.co/cvtBTLqc6e",0.125,0.375,0.500,0.3129375,0.296,-0.6908,0.34895,0.07053684234375,0.125,0.731,0.144,8,rumours
